===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MacdCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
81,,81,2015-04-29 00:00:00,43.652851886832565,44.07498803808832,43.26908908763039,43.384220123291016,3997600.0,,MacdCross,81,735717.0,Broker,81,10000.0,10000.0,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,,82,2015-04-30 00:00:00,43.2499090051262,43.604887254594374,42.511167914187666,42.61669921875,4330200.0,,MacdCross,82,735718.0,Broker,82,10000.0,10000.0,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,,83,2015-05-01 00:00:00,42.914111906175535,43.0868048039737,42.587914616982715,42.79898452758789,5835100.0,,MacdCross,83,735719.0,Broker,83,10000.0,10000.0,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,,84,2015-05-04 00:00:00,42.9333053770929,43.71042350704525,42.89492835984824,43.55691909790039,4782900.0,,MacdCross,84,735722.0,Broker,84,10000.0,10000.0,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,,85,2015-05-05 00:00:00,45.21668188407571,45.51409458668769,43.29787514275076,43.82554626464844,7681200.0,,MacdCross,85,735723.0,Broker,85,10000.0,10000.0,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,,86,2015-05-06 00:00:00,44.06539541674621,44.074987839758116,43.35543533936688,43.451377868652344,4441400.0,,MacdCross,86,735724.0,Broker,86,10000.0,10000.0,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,,87,2015-05-07 00:00:00,43.489748775147916,43.89269636208007,43.20192488753036,43.710411071777344,2427000.0,,MacdCross,87,735725.0,Broker,87,10000.0,10000.0,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,,88,2015-05-08 00:00:00,44.12297137532007,44.218910267474676,43.7200199766356,44.036624908447266,2548200.0,,MacdCross,88,735726.0,Broker,88,10000.0,10000.0,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,,89,2015-05-11 00:00:00,44.04621348393625,44.46834969628814,43.815955039122784,44.21890640258789,3405100.0,,MacdCross,89,735729.0,Broker,89,10000.0,10000.0,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,,90,2015-05-12 00:00:00,43.86393016522179,43.99824607263108,43.499355802372285,43.7296142578125,2230400.0,,MacdCross,90,735730.0,Broker,90,10000.0,10000.0,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,,91,2015-05-13 00:00:00,43.76797103881836,44.13254526357493,43.57608967527108,43.76797103881836,2159800.0,,MacdCross,91,735731.0,Broker,91,10000.0,10000.0,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,,92,2015-05-14 00:00:00,44.00783265163896,44.43956491084299,43.63366591360662,44.401187896728516,1959600.0,,MacdCross,92,735732.0,Broker,92,10000.0,10000.0,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,,93,2015-05-15 00:00:00,44.63144206073396,45.005608763045565,44.54509561713642,44.6026611328125,2831500.0,,MacdCross,93,735733.0,Broker,93,450.73522440121815,9993.84208332692,BuySell,93,43.87691918287937,,Trades - Net Profit/Loss,93,,
94,,94,2015-05-18 00:00:00,44.56429208765695,44.87130090647027,44.43956861131598,44.832923889160156,2890600.0,,MacdCross,94,735736.0,Broker,94,450.73522440121815,10043.108697328116,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,,95,2015-05-19 00:00:00,44.97683342721755,45.753947856383,44.84251753377333,45.5236930847168,3845700.0,,MacdCross,95,735737.0,Broker,95,450.73522440121815,10190.904458402149,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,,96,2015-05-20 00:00:00,45.54287321790272,45.869070467643354,45.08236009941587,45.3605842590332,2206600.0,,MacdCross,96,735738.0,Broker,96,450.73522440121815,10156.005981190274,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,,97,2015-05-21 00:00:00,45.408557147601385,45.94582062020149,45.139921751468414,45.859474182128906,3599300.0,,MacdCross,97,735739.0,Broker,97,450.73522440121815,10262.747590906494,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,,98,2015-05-22 00:00:00,45.773134797916576,45.89785826320476,45.57166096464345,45.69638442993164,1832300.0,,MacdCross,98,735740.0,Broker,98,450.73522440121815,10227.853194624178,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,,99,2015-05-26 00:00:00,45.59085131395495,46.0993339593829,45.58125523017312,46.003395080566406,3999500.0,,MacdCross,99,735744.0,Broker,99,450.73522440121815,10293.540652982589,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,,100,2015-05-27 00:00:00,46.03215462560021,47.47125909823818,45.73473838371553,47.44247817993164,5447800.0,,MacdCross,100,735745.0,Broker,100,450.73522440121815,10601.444339608437,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,,101,2015-05-28 00:00:00,47.28899922711123,47.53844252590737,46.435130700686514,47.11630630493164,4934000.0,,MacdCross,101,735746.0,Broker,101,450.73522440121815,10531.657179415628,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,,102,2015-05-29 00:00:00,47.432895444888196,47.93178557493511,47.13548277916445,47.7495002746582,5617100.0,,MacdCross,102,735747.0,Broker,102,450.73522440121815,10667.13424652458,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,,103,2015-06-01 00:00:00,47.89342158855319,48.325153901156455,47.36575038863095,47.75910568237305,4496100.0,,MacdCross,103,735750.0,Broker,103,450.73522440121815,10669.189402650207,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,,104,2015-06-02 00:00:00,47.701534660925134,47.941385493033835,46.914824224395254,47.56721878051758,2680500.0,,MacdCross,104,735751.0,Broker,104,450.73522440121815,10628.133618920572,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,,105,2015-06-03 00:00:00,47.8550417627183,47.87423026955588,47.33696305760404,47.53843688964844,1976000.0,,MacdCross,105,735752.0,Broker,105,450.73522440121815,10621.9754962169,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,,106,2015-06-04 00:00:00,47.058737572944125,47.576816304202296,46.86685615471884,46.91482925415039,2080700.0,,MacdCross,106,735753.0,Broker,106,450.73522440121815,10488.549504304014,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,,107,2015-06-05 00:00:00,46.7229501180698,47.1738672641152,46.444722231045,47.020362854003906,2412000.0,,MacdCross,107,735754.0,Broker,107,450.73522440121815,10511.12928755081,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,,108,2015-06-08 00:00:00,46.77090493219258,47.22182559704428,46.761312510737994,46.81887435913086,1906400.0,,MacdCross,108,735757.0,Broker,108,450.73522440121815,10468.019163881461,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,,109,2015-06-09 00:00:00,46.69415695342903,47.36573999682168,46.55024865402335,47.24102020263672,2675500.0,,MacdCross,109,735758.0,Broker,109,450.73522440121815,10558.340745426382,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,,110,2015-06-10 00:00:00,47.404116813348914,47.87422603975065,47.01076160751608,47.67274856567383,2012100.0,,MacdCross,110,735759.0,Broker,110,450.73522440121815,10650.712585981457,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,,111,2015-06-11 00:00:00,47.77829721234195,48.00855568023192,47.58641576573933,47.845455169677734,2055700.0,,MacdCross,111,735760.0,Broker,111,450.73522440121815,10687.664586947134,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,,112,2015-06-12 00:00:00,47.61518402217869,47.83584632910811,47.020351375847646,47.0875129699707,2033300.0,,MacdCross,112,735761.0,Broker,112,450.73522440121815,10525.49660815422,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,,113,2015-06-15 00:00:00,46.857258372439105,47.346552456119106,46.732534915880194,47.26980209350586,3015000.0,,MacdCross,113,735764.0,Broker,113,450.73522440121815,10564.498868130053,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,,114,2015-06-16 00:00:00,47.29857750861921,47.711121181597555,46.91481842061962,47.691932678222656,1817900.0,,MacdCross,114,735765.0,Broker,114,450.73522440121815,10654.817184931326,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,,115,2015-06-17 00:00:00,47.73030364976135,48.325132539839494,47.69192664786409,48.13325119018555,2804400.0,,MacdCross,115,735766.0,Broker,115,450.73522440121815,10749.24091686838,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,,116,2015-06-18 00:00:00,48.248401029074635,48.54581376028911,48.12367755414037,48.44987487792969,3696100.0,,MacdCross,116,735767.0,Broker,116,450.73522440121815,10816.98516372424,BuySell,116,,,Trades - Net Profit/Loss,116,,
117,,117,2015-06-19 00:00:00,48.31556303890055,48.565006349897324,48.16205861832544,48.200435638427734,2906800.0,,MacdCross,117,735768.0,Broker,117,450.73522440121815,10763.615583144996,BuySell,117,,,Trades - Net Profit/Loss,117,,
118,,118,2015-06-22 00:00:00,48.54581073993761,48.64175327616159,48.037328107367905,48.18124008178711,2040400.0,,MacdCross,118,735771.0,Broker,118,450.73522440121815,10759.508535637391,BuySell,118,,,Trades - Net Profit/Loss,118,,
