===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,KDJ_MACDStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
66,,66,2015-04-08 00:00:00,44.487534548682056,44.717792974571125,44.24768369913798,44.33403015136719,2565400.0,,KDJ_MACDStrategy,66,735696.0,Broker,66,10000.0,10000.0,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,,67,2015-04-09 00:00:00,44.42037407864037,44.842513892136004,44.28605819610387,44.66022491455078,2720800.0,,KDJ_MACDStrategy,67,735697.0,Broker,67,10000.0,10000.0,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,,68,2015-04-10 00:00:00,44.70818354881072,45.37017403828788,44.420363347218775,45.255043029785156,2278300.0,,KDJ_MACDStrategy,68,735698.0,Broker,68,10000.0,10000.0,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2015-04-13 00:00:00,45.33180275349853,45.51408805020556,44.74656619586952,44.76575469970703,2009300.0,,KDJ_MACDStrategy,69,735701.0,Broker,69,10000.0,10000.0,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2015-04-14 00:00:00,44.765766637826715,45.08237154582842,44.15174899061186,44.99602508544922,2672500.0,,KDJ_MACDStrategy,70,735702.0,Broker,70,10000.0,10000.0,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2015-04-15 00:00:00,45.139922708682555,45.30302316620401,45.00560683768429,45.09195327758789,1578500.0,,KDJ_MACDStrategy,71,735703.0,Broker,71,10000.0,10000.0,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2015-04-16 00:00:00,44.90007151584339,45.255049694758746,44.746567141731376,45.22626876831055,1585500.0,,KDJ_MACDStrategy,72,735704.0,Broker,72,10000.0,10000.0,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2015-04-17 00:00:00,44.996015566160104,45.12073535822931,44.57387577813175,44.87129211425781,2885100.0,,KDJ_MACDStrategy,73,735705.0,Broker,73,10000.0,10000.0,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,,74,2015-04-20 00:00:00,44.98641718264398,45.216675569775155,44.813724307253835,45.13032913208008,2890200.0,,KDJ_MACDStrategy,74,735708.0,Broker,74,10000.0,10000.0,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,,75,2015-04-21 00:00:00,45.36058423482021,45.64840813607467,45.187891358000705,45.61003112792969,3139000.0,,KDJ_MACDStrategy,75,735709.0,Broker,75,10000.0,10000.0,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,,76,2015-04-22 00:00:00,45.52369029865988,45.590848241271914,45.02480011080378,45.1207389831543,2075700.0,,KDJ_MACDStrategy,76,735710.0,Broker,76,10000.0,10000.0,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,,77,2015-04-23 00:00:00,45.03439576204761,45.18790016471123,44.6794175171068,45.139930725097656,2113300.0,,KDJ_MACDStrategy,77,735711.0,Broker,77,10000.0,10000.0,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,,78,2015-04-24 00:00:00,44.986427266127805,46.04177325893295,44.832922860244075,45.96501922607422,3449500.0,,KDJ_MACDStrategy,78,735712.0,Broker,78,10000.0,10000.0,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,,79,2015-04-27 00:00:00,46.032179161289264,46.04177524572756,44.842520879312666,44.92886734008789,2684100.0,,KDJ_MACDStrategy,79,735715.0,Broker,79,10000.0,10000.0,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,,80,2015-04-28 00:00:00,44.82333093558737,44.91926981789625,43.78717343944945,43.87351989746094,4492400.0,,KDJ_MACDStrategy,80,735716.0,Broker,80,10000.0,10000.0,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,,81,2015-04-29 00:00:00,43.65285572515014,44.074991913523576,43.269092892204384,43.38422393798828,3997600.0,,KDJ_MACDStrategy,81,735717.0,Broker,81,10000.0,10000.0,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,,82,2015-04-30 00:00:00,43.24991674788022,43.604895060897874,42.511175524689605,42.61670684814453,4330200.0,,KDJ_MACDStrategy,82,735718.0,Broker,82,529.4097298559573,9861.343744304673,BuySell,82,41.87350789181926,,Trades - Net Profit/Loss,82,,
83,,83,2015-05-01 00:00:00,42.914111906175535,43.0868048039737,42.587914616982715,42.79898452758789,5835100.0,,KDJ_MACDStrategy,83,735719.0,Broker,83,529.4097298559573,9901.257745237064,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,,84,2015-05-04 00:00:00,42.93330913717433,43.71042733518637,42.89493211656862,43.556922912597656,4782900.0,,KDJ_MACDStrategy,84,735722.0,Broker,84,529.4097298559573,10067.226247241035,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,,85,2015-05-05 00:00:00,45.21668581986128,45.51409854836089,43.29787891151807,43.8255500793457,7681200.0,,KDJ_MACDStrategy,85,735723.0,Broker,85,529.4097298559573,10126.048506865965,BuySell,85,,,Trades - Net Profit/Loss,85,,
