===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,KDJStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
57,,57,2015-03-25 00:00:00,45.17398681618585,45.375103385334,44.26418924821471,44.31207275390625,4148400.0,,KDJStrategy,57,735682.0,Broker,57,10174.338260425773,10174.338260425773,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2015-03-26 00:00:00,44.072644606812375,44.42698687686132,43.75660694329651,44.158836364746094,3550800.0,,KDJStrategy,58,735683.0,Broker,58,10174.338260425773,10174.338260425773,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2015-03-27 00:00:00,44.1875703315378,44.561066770361194,44.05349506152706,44.26418685913086,2801700.0,,KDJStrategy,59,735684.0,Broker,59,10174.338260425773,10174.338260425773,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2015-03-30 00:00:00,44.50360750690987,44.9728709464535,44.4557203510863,44.93456268310547,2206900.0,,KDJStrategy,60,735687.0,Broker,60,10174.338260425773,10174.338260425773,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2015-03-31 00:00:00,44.78133182741895,44.944140114717634,44.33122253417969,44.33122253417969,2768400.0,,KDJStrategy,61,735688.0,Broker,61,541.6775415746306,10077.51777896075,BuySell,61,43.66625419616699,,Trades - Net Profit/Loss,61,,
62,,62,2015-04-01 00:00:00,44.340802126665714,44.5898022015054,44.01518917337503,44.31207275390625,4751300.0,,KDJStrategy,62,735689.0,Broker,62,541.6775415746306,10073.3985773049,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2015-04-02 00:00:00,44.48444606464886,44.68555893425946,44.24502493798581,44.53232955932617,3084000.0,,KDJStrategy,63,735690.0,Broker,63,541.6775415746306,10120.77678137004,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2015-04-06 00:00:00,44.19715000197721,44.695142826988125,44.06307107632962,44.36953353881836,2385300.0,,KDJStrategy,64,735694.0,Broker,64,10048.678189745293,10048.678189745293,BuySell,64,,45.36556996939294,Trades - Net Profit/Loss,64,,-125.66007068047931
65,,65,2015-04-07 00:00:00,44.516320435814954,44.95764513346923,44.449162488773375,44.477943420410156,2367100.0,,KDJStrategy,65,735695.0,Broker,65,10048.678189745293,10048.678189745293,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2015-04-08 00:00:00,44.48753072077658,44.71778912685319,44.24767989187034,44.33402633666992,2565400.0,,KDJStrategy,66,735696.0,Broker,66,500.3761994348679,10015.731739525649,BuySell,66,43.583964693492284,,Trades - Net Profit/Loss,66,,
67,,67,2015-04-09 00:00:00,44.420370284430206,44.84251006186835,44.286054413366436,44.660221099853516,2720800.0,,KDJStrategy,67,735697.0,Broker,67,500.3761994348679,10085.74250560038,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,,68,2015-04-10 00:00:00,44.708202391814076,45.37019316029807,44.42038206891554,45.255062103271484,2278300.0,,KDJStrategy,68,735698.0,Broker,68,500.3761994348679,10213.412471652271,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2015-04-13 00:00:00,45.33180661643137,45.51409192867178,44.74657000893165,44.7657585144043,2009300.0,,KDJStrategy,69,735701.0,Broker,69,500.3761994348679,10108.393866309345,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2015-04-14 00:00:00,44.765762842650425,45.08236772381083,44.151745247491085,44.99602127075195,2672500.0,,KDJStrategy,70,735702.0,Broker,70,500.3761994348679,10157.81486808461,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2015-04-15 00:00:00,45.139934164948734,45.303034663864196,45.00561825986183,45.09196472167969,1578500.0,,KDJStrategy,71,735703.0,Broker,71,10188.70270905549,10188.70270905549,BuySell,71,,45.98258018382215,Trades - Net Profit/Loss,71,140.02451931019618,
72,,72,2015-04-16 00:00:00,44.90007151584339,45.255049694758746,44.746567141731376,45.22626876831055,1585500.0,,KDJStrategy,72,735704.0,Broker,72,10188.70270905549,10188.70270905549,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2015-04-17 00:00:00,44.996019391460635,45.120739194132796,44.5738795675444,44.87129592895508,2885100.0,,KDJStrategy,73,735705.0,Broker,73,558.7128094214731,10162.009554851635,BuySell,73,43.90527137403124,,Trades - Net Profit/Loss,73,,
